user,login_count,night_logins,usb_count,file_activity_count,anomaly_label,risk_score
EMP00001,68,2,0,150,1,17.06
EMP00002,189,3,13,149,1,23.08
EMP00003,861,50,191,911,1,38.04
EMP00004,135,1,0,104,1,3.78
EMP00005,145,0,12,182,1,10.12
EMP00006,124,3,16,157,1,9.75
EMP00007,63,0,3,75,1,10.91
EMP00008,108,3,7,41,1,0.94
EMP00009,92,1,7,167,1,2.11
EMP00010,279,1,10,150,1,20.43
EMP00011,76,0,8,54,1,5.15
EMP00012,403,23,366,1446,1,47.70
EMP00013,306,0,19,76,1,10.37
EMP00014,280,4,0,59,1,19.81
EMP00015,710,47,368,2366,1,29.83
EMP00016,487,11,223,2398,1,40.17
EMP00017,280,0,10,183,1,11.57
EMP00018,968,55,117,906,1,42.99
EMP00019,1976,134,5771,8151,-1,60.38
EMP00020,225,1,18,191,1,21.67
EMP00021,148,0,19,75,1,4.92
EMP00022,115,2,16,100,1,12.28
EMP00023,243,1,2,16,1,12.68
EMP00024,159,0,19,124,1,15.31
EMP00025,1911,251,2736,5220,-1,77.54
EMP00026,125,3,5,187,1,23.41
EMP00027,77,4,18,87,1,0.61
EMP00028,331,0,15,102,1,0.18
EMP00029,321,0,18,188,1,4.91
EMP00030,327,4,14,198,1,17.88
EMP00031,126,3,16,174,1,21.27
EMP00032,1558,125,3216,13168,-1,80.85
EMP00033,310,3,9,114,1,16.51
EMP00034,68,4,15,9,1,9.24
EMP00035,290,1,17,117,1,19.41
EMP00036,167,0,3,198,1,13.61
EMP00037,199,4,14,39,1,13.21
EMP00038,1093,14,356,1644,1,38.16
EMP00039,74,4,2,100,1,23.98
EMP00040,283,2,12,75,1,14.05
EMP00041,807,47,360,1425,1,47.21
EMP00042,85,2,4,65,1,8.55
EMP00043,80,2,19,15,1,7.58
EMP00044,68,3,16,111,1,11.57
EMP00045,1899,165,3169,9709,-1,58.85
EMP00046,328,1,10,193,1,20.33
EMP00047,334,0,9,78,1,9.45
EMP00048,232,4,14,60,1,13.69
EMP00049,50,0,11,72,1,13.63
EMP00050,946,12,512,1602,1,40.80
EMP00051,186,2,3,96,1,17.93
EMP00052,346,4,17,35,1,2.86
EMP00053,191,1,17,97,1,5.33
EMP00054,154,4,19,12,1,10.07
EMP00055,262,1,3,82,1,7.11
EMP00056,152,2,15,75,1,19.06
EMP00057,278,4,8,107,1,10.79
EMP00058,228,0,11,45,1,15.84
EMP00059,271,4,15,77,1,0.18
EMP00060,1183,16,331,1738,1,40.92
EMP00061,58,2,0,69,1,11.86
EMP00062,333,3,2,198,1,0.24
EMP00063,482,29,186,1477,1,38.09
EMP00064,886,52,254,1918,1,42.59
EMP00065,227,4,17,20,1,16.67
EMP00066,331,0,13,94,1,1.05
EMP00067,273,3,8,71,1,19.54
EMP00068,221,4,0,43,1,21.59
EMP00069,447,41,387,1372,1,33.61
EMP00070,473,55,274,1904,1,39.20
EMP00071,205,0,11,82,1,0.27
EMP00072,265,1,13,88,1,13.79
EMP00073,70,1,2,134,1,8.50
EMP00074,1882,243,5918,12773,-1,62.03
EMP00075,297,4,10,114,1,6.34
EMP00076,218,3,16,11,1,0.62
EMP00077,171,0,3,36,1,19.08
EMP00078,106,2,15,120,1,22.63
EMP00079,75,4,6,193,1,0.74
EMP00080,294,4,16,52,1,7.00
EMP00081,285,1,15,59,1,23.69
EMP00082,73,2,13,103,1,20.69
EMP00083,206,2,15,129,1,6.08
EMP00084,70,4,16,44,1,22.40
EMP00085,1190,57,144,2274,1,43.56
EMP00086,295,1,19,177,1,1.86
EMP00087,192,4,6,176,1,0.14
EMP00088,333,2,7,197,1,0.59
EMP00089,927,40,447,1028,1,42.02
EMP00090,58,3,10,8,1,8.00
EMP00091,162,4,9,88,1,0.00
EMP00092,243,4,10,123,1,3.50
EMP00093,264,0,11,166,1,3.39
EMP00094,341,4,16,53,1,13.46
EMP00095,271,1,15,154,1,21.40
EMP00096,900,14,363,961,1,33.01
EMP00097,252,3,19,22,1,22.24
EMP00098,56,2,1,153,1,8.23
EMP00099,92,2,18,99,1,22.63
EMP00100,194,0,15,35,1,20.00
EMP00101,342,0,6,40,1,4.01
EMP00102,335,0,13,36,1,15.96
EMP00103,311,2,3,63,1,6.42
EMP00104,193,4,17,188,1,21.46
EMP00105,201,4,2,170,1,11.07
EMP00106,175,1,16,50,1,1.99
EMP00107,169,0,6,142,1,19.91
EMP00108,182,3,9,74,1,14.90
EMP00109,155,4,4,31,1,11.85
EMP00110,115,2,10,112,1,1.13
EMP00111,139,1,18,137,1,13.89
EMP00112,344,0,16,199,1,1.26
EMP00113,58,1,12,70,1,8.06
EMP00114,349,3,4,51,1,20.09
EMP00115,1022,33,312,623,1,34.25
EMP00116,62,1,6,151,1,13.86
EMP00117,678,55,155,708,1,46.39
EMP00118,205,0,13,185,1,22.67
EMP00119,231,3,2,36,1,17.04
EMP00120,92,1,5,78,1,0.04
EMP00121,81,1,3,74,1,16.81
EMP00122,842,48,165,2298,1,41.49
EMP00123,188,4,4,161,1,2.68
EMP00124,112,1,3,95,1,18.74
EMP00125,1063,141,5148,11833,-1,93.11
EMP00126,102,4,17,57,1,23.48
EMP00127,834,56,124,2227,1,42.66
EMP00128,252,2,5,186,1,17.57
EMP00129,153,2,7,107,1,23.74
EMP00130,60,4,10,151,1,18.33
EMP00131,931,24,221,2188,1,32.81
EMP00132,140,2,15,92,1,18.18
EMP00133,84,1,16,196,1,2.17
EMP00134,69,2,15,169,1,9.21
EMP00135,477,12,532,2182,1,42.19
EMP00136,325,4,10,71,1,1.52
EMP00137,227,1,10,166,1,10.46
EMP00138,193,3,19,75,1,18.05
EMP00139,90,3,17,115,1,11.77
EMP00140,128,0,4,55,1,7.49
EMP00141,268,2,0,32,1,5.22
EMP00142,1137,19,88,768,1,31.31
EMP00143,334,1,19,196,1,21.53
EMP00144,90,4,0,192,1,17.99
EMP00145,53,1,16,76,1,17.36
EMP00146,339,2,0,38,1,17.37
EMP00147,292,3,7,143,1,0.78
EMP00148,146,3,12,153,1,14.53
